planet,N,tn_BJD,OC_min,eOC_min
Kepler-9b,0,77.493149,-350.7000,1.0000
Kepler-9b,1,96.739436,-368.3000,1.0000
Kepler-9b,3,135.232009,-398.5000,1.0000
Kepler-9b,4,154.478295,-413.6000,1.0000
Kepler-9b,7,212.217155,-417.0000,1.0000
Kepler-9b,8,231.463441,-418.4000,1.0000
Kepler-9b,9,250.709728,-402.4000,1.0000
Kepler-9b,10,269.956014,-394.4000,1.0000
Kepler-9b,11,289.202301,-369.0000,1.0000
Kepler-9b,12,308.448587,-352.3000,1.0000
Kepler-9b,13,327.694874,-318.4000,1.0000
Kepler-9b,14,346.941160,-293.5000,1.0000
Kepler-9b,15,366.187447,-249.1000,1.0000
Kepler-9b,16,385.433733,-216.7000,1.0000
Kepler-9b,17,404.680020,-167.9000,1.0000
Kepler-9b,18,423.926306,-130.1900,1.0000
Kepler-9b,19,443.172593,-78.6000,1.0000
Kepler-9b,20,462.418879,-33.8000,1.0000
Kepler-9b,21,481.665166,21.9000,1.0000
Kepler-9b,22,500.911452,65.9000,1.0000
Kepler-9b,23,520.157739,118.6000,1.0000
Kepler-9b,24,539.404025,167.0000,1.0000
Kepler-9b,25,558.650312,220.9000,1.0000
Kepler-9b,26,577.896598,262.2000,1.0000
Kepler-9b,27,597.142885,312.3000,1.0000
Kepler-9b,28,616.389171,355.6000,1.0000
Kepler-9b,29,635.635458,397.1000,1.0000
Kepler-9b,31,674.128031,463.9000,1.0000
Kepler-9b,32,693.374317,496.9000,1.0000
Kepler-9b,33,712.620604,520.0000,1.0000
Kepler-9b,34,731.866890,543.7000,1.0000
Kepler-9b,35,751.113177,554.5000,1.0000
Kepler-9b,36,770.359463,566.4000,1.0000
Kepler-9b,37,789.605750,570.8000,1.0000
Kepler-9b,38,808.852036,572.3000,1.0000
Kepler-9b,39,828.098322,566.2000,1.0000
Kepler-9b,40,847.344609,558.2000,1.0000
Kepler-9b,41,866.590895,546.0000,1.0000
Kepler-9b,43,905.083468,503.0000,1.0000
Kepler-9b,45,943.576041,451.4000,1.0000
Kepler-9b,47,982.068614,387.1000,1.0000
Kepler-9b,48,1001.314901,354.6000,1.0000
Kepler-9b,49,1020.561187,315.5000,1.0000
Kepler-9b,50,1039.807474,283.5000,1.0000
Kepler-9b,52,1078.300047,206.3000,0.9000
Kepler-9b,54,1116.792620,127.6000,1.0000
Kepler-9b,55,1136.038906,88.3000,1.0000
Kepler-9b,56,1155.285193,49.6000,1.0000
Kepler-9b,57,1174.531479,11.7000,1.0000
Kepler-9b,58,1193.777766,-27.1000,1.0000
Kepler-9b,59,1213.024052,-67.1000,1.0000
Kepler-9b,60,1232.270339,-106.6000,1.0000
Kepler-9b,61,1251.516625,-141.9400,1.0000
Kepler-9b,62,1270.762912,-179.2000,1.0000
Kepler-9b,63,1290.009198,-215.2000,1.0000
Kepler-9b,64,1309.255485,-253.5000,1.0000
Kepler-9b,67,1366.994344,-360.4000,1.0000
Kepler-9b,68,1386.240631,-394.0000,1.0000
Kepler-9b,70,1424.733204,-465.1000,1.0000
Kepler-9b,71,1443.979490,-498.6000,1.0000
Kepler-9b,72,1463.225777,-528.0700,1.0000
Kepler-9b,73,1482.472063,-560.2000,1.0000
Kepler-9b,74,1501.718350,-593.0000,1.0000
Kepler-9b,75,1520.964636,-621.5000,1.0000
Kepler-9c,0,68.896213,591.1000,1.0000
Kepler-9c,1,107.846022,699.7000,1.0000
Kepler-9c,2,146.795830,778.8000,1.0000
Kepler-9c,3,185.745639,817.0000,1.0000
Kepler-9c,4,224.695447,817.9000,1.0000
Kepler-9c,6,302.595064,687.1000,1.0000
Kepler-9c,7,341.544873,556.1000,1.0000
Kepler-9c,8,380.494681,390.5000,1.0000
Kepler-9c,9,419.444490,192.3000,1.0000
Kepler-9c,10,458.394298,-23.5000,1.0000
Kepler-9c,11,497.344107,-251.1000,1.0000
Kepler-9c,12,536.293915,-481.5000,1.0000
Kepler-9c,13,575.243724,-705.3000,1.0000
Kepler-9c,14,614.193532,-908.3000,1.0000
Kepler-9c,16,692.093149,-1232.8000,1.0000
Kepler-9c,17,731.042958,-1339.0000,1.0000
Kepler-9c,18,769.992766,-1397.8000,1.0000
Kepler-9c,19,808.942575,-1409.3000,1.0000
Kepler-9c,20,847.892384,-1377.6000,1.0000
Kepler-9c,23,964.741809,-1066.9000,1.0000
Kepler-9c,25,1042.641426,-754.9000,1.0000
Kepler-9c,26,1081.591235,-585.4000,1.0000
Kepler-9c,27,1120.541043,-408.1000,1.0000
Kepler-9c,28,1159.490852,-228.5000,1.0000
Kepler-9c,29,1198.440660,-50.8000,1.0000
Kepler-9c,30,1237.390469,128.0000,1.0000
Kepler-9c,31,1276.340277,306.6000,1.0000
Kepler-9c,32,1315.290086,482.0000,1.0000
Kepler-9c,33,1354.239894,660.9000,1.0000
Kepler-9c,34,1393.189703,834.9000,1.0000
Kepler-9c,35,1432.139511,1001.9000,1.0000
Kepler-9c,36,1471.089320,1172.9000,1.0000
Kepler-9c,37,1510.039128,1329.4000,1.0000
